Borough,Neighborhood,Building_Class_Category,Tax_Class_At_Present,Block,Lot,Building_Class_At_Present,Address,Zip_Code,Residential_Units,Commercial_Units,Total_Units,Land_Square_Feet,Gross_Square_Feet,Year_Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,Sale_Date
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,2907,24,A1,4090 PARK AVENUE,10457,1.0,0.0,1.0,2500.0,1474.0,1901.0,1,A1,0,2024-03-28
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,27,A1,2090 WASHINGTON AVENUE,10457,1.0,0.0,1.0,2356.0,2213.0,1901.0,1,A1,0,2024-06-11
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,40,A1,2073 BATHGATE AVENUE,10457,1.0,0.0,1.0,1933.0,1344.0,1899.0,1,A1,425000,2024-06-27
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3047,11,A1,482 EAST 181ST STREET,10457,1.0,0.0,1.0,1556.0,1240.0,1901.0,1,A1,0,2024-06-14
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3050,91,A9,503 EAST 182 STREET,10457,1.0,0.0,1.0,1960.0,1705.0,1901.0,1,A9,515000,2024-04-11
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,103,A1,2327 BASSFORD AVE,10458,1.0,0.0,1.0,913.0,1248.0,1901.0,1,A1,413000,2024-08-06
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904,22,B9,454 EAST 172ND ST,10457,2.0,0.0,2.0,1658.0,1428.0,1901.0,1,B9,500000,2024-02-08
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,117,B1,1538 WASHINGTON AVENUE,10457,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,750000,2024-05-24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,150,B1,521 EAST 171ST STREET,10457,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,835000,2024-05-10
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,124,B1,1487 CROTONA PLACE,10456,2.0,0.0,2.0,1900.0,2394.0,1994.0,1,B1,0,2024-05-08
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,125,B1,1477 CROTONA PLACE,10456,2.0,0.0,2.0,1900.0,2394.0,1994.0,1,B1,820000,2023-11-17
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,202,B3,4465 PARK AVENUE,10457,2.0,0.0,2.0,1569.0,1497.0,1899.0,1,B3,380000,2024-04-25
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,46,S2,1967 WASHINGTON AVENUE,10457,2.0,1.0,3.0,2728.0,2946.0,1899.0,1,S2,0,2024-01-11
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,64,B2,506 EAST 183,10458,2.0,0.0,2.0,1316.0,2112.0,1901.0,1,B2,494529,2024-03-28
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,15,B2,2305 BATHGATE,10458,2.0,0.0,2.0,2358.0,2652.0,1901.0,1,B2,0,2024-03-19
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,15,B2,2305 BATHGATE AVENUE,10458,2.0,0.0,2.0,2358.0,2652.0,1901.0,1,B2,470000,2024-03-14
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,2929,170,C0,1699 FULTON,10457,3.0,0.0,3.0,2360.0,3402.0,2003.0,1,C0,0,2024-07-31
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3035,53,C0,459 EAST 178TH STREET,10457,3.0,0.0,3.0,1799.0,3520.0,2007.0,1,C0,1175000,2024-09-12
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3035,54,C0,457 EAST 178TH STREET,10457,3.0,0.0,3.0,1800.0,3520.0,2007.0,1,C0,1175000,2024-09-12
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041,6,C0,4686 PARK AVENUE,10458,3.0,0.0,3.0,1404.0,3900.0,2004.0,1,C0,0,2023-11-30
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3047,29,C0,2108 BATHGATE,10457,3.0,0.0,3.0,1650.0,3316.0,2005.0,1,C0,885000,2024-03-15
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3031,14,V0,2324 WEBSTER AVENUE,10458,0.0,0.0,0.0,7185.0,0.0,nan,1,V0,0,2024-02-29
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3044,49,V0,N/A BATHGATE AVENUE,10457,0.0,0.0,0.0,276.0,0.0,nan,1,V0,10000,2024-06-13
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3051,7,V0,2246 BATHGATE AVENUE,10457,0.0,0.0,0.0,2923.0,0.0,nan,1,V0,5000,2024-02-22
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3051,7,V0,2246 BATHGATE AVENUE,10457,0.0,0.0,0.0,2923.0,0.0,nan,1,V0,530000,2024-06-18
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3030,141,C1,2248 WEBSTER AVENUE,10457,27.0,0.0,27.0,3690.0,16120.0,1913.0,2,C1,1950000,2024-07-30
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2A,3036,52,C3,2039 WASHINGTON AVENUE,10457,4.0,0.0,4.0,3625.0,7050.0,1931.0,2,C3,0,2024-10-30
